,Volume3d (mm^3) ,BaryCenterX (mm) ,BaryCenterY (mm) ,BaryCenterZ (mm) ,Anisotropy,Elongation,Flatness,VoxelFaceArea (mm^2),Sphericity,SurfaceParticles,Component 1,Component 2,PcaClusters
0,91.7529,-1249.26,-1243.58,-1685.28,0.545994,0.731435,0.620706,244.736,0.40197539136884,False,1.7569004248532891,0.4727800857399167,2
1,33.2852,-1241.94,-1257.46,-1686.12,0.946436,0.566783,0.0945057,175.078,0.2858160819930612,False,-2.5675471879050424,1.1034890310120755,0
2,26.8576,-1246.98,-1235.86,-1648.17,0.862477,0.343091,0.400835,194.946,0.2224750246521773,False,-1.9866181206703843,-0.8859234557055186,0
3,20.5755,-1249.24,-1250.28,-1680.69,0.844642,0.736602,0.210912,94.2789,0.3851558951748447,False,-1.0060709408770996,1.6761281145566502,0
4,17.9376,-1242.87,-1249.47,-1647.25,0.710594,0.471159,0.614242,71.30980000000001,0.4647054825121112,False,0.5482195919254833,-0.4867925378453289,1
5,16.3607,-1242.33,-1241.74,-1672.22,0.683479,0.728257,0.434628,76.6135,0.4067991863382357,False,0.5271234984926688,1.0212359442295134,2
6,15.9622,-1250.49,-1253.48,-1647.87,0.915116,0.533545,0.159094,108.946,0.2814068513850346,False,-2.3090005437213885,0.7618784509108554,0
7,14.6602,-1246.1,-1253.38,-1647.34,0.829125,0.580816,0.294198,78.656,0.3682806189592358,False,-1.0721320140100803,0.7360299439310177,0
8,13.0533,-1242.26,-1242.44,-1656.54,0.879854,0.469435,0.255937,61.482000000000006,0.4360634476733095,False,-1.4187376164236731,0.5176913175920773,0
9,10.3501,-1248.31,-1236.5,-1669.5,0.921533,0.143478,0.546894,83.4276,0.2752986435267016,False,-2.136349521454352,-2.063591148734961,1
10,8.95478,-1253.67,-1245.79,-1653.29,0.576112,0.685689,0.618192,62.5688,0.3332955990527547,False,1.239956454437535,0.1456275753273592,2
11,8.92676,-1238.8,-1243.5,-1694.4,0.727436,0.507876,0.536674,47.5849,0.4373316103736896,False,0.2267182139613281,-0.15504131551706155,1
12,8.88406,-1249.25,-1247.77,-1642.17,0.90244,0.440442,0.221506,59.0388,0.351361569342311,False,-2.001673861108671,0.325359295613154,0
13,7.93679,-1246.28,-1258.04,-1704.39,0.659225,0.436857,0.780061,45.9963,0.4183352743964916,False,1.0196953700467764,-1.2229287495378554,1
14,7.68155,-1243.48,-1237.58,-1700.09,0.653133,0.897681,0.386404,40.8258,0.4611568478410415,False,1.1033549777510503,1.9926503601902437,2
15,7.66186,-1250.74,-1235.09,-1684.7,0.774547,0.504971,0.446467,39.651,0.4740084908499146,False,-0.13629013453378788,0.17663101010143156,1
16,7.34728,-1246.31,-1246.13,-1632.26,0.760817,0.410703,0.582374,46.0278,0.3970833108915352,False,-0.18039956181303066,-0.7864499097764931,1
17,7.21237,-1252.95,-1254.74,-1655.43,0.689416,0.492984,0.630009,41.3316,0.4367711111570128,False,0.6457976050115364,-0.4980359604725032,1
18,6.62224,-1242.13,-1246.93,-1640.83,0.634963,0.751623,0.485666,38.3007,0.4452603505483127,False,1.115344742994057,1.0473678245329439,2
19,6.2947,-1240.84,-1263.09,-1651.64,0.865093,0.776438,0.173751,57.2755,0.2878493544995437,False,-1.4968868445618815,1.7559406530514408,0
20,5.89764,-1244.54,-1255.74,-1710.84,0.829724,0.435371,0.391106,44.7756,0.3525560862361693,False,-1.169019106646352,-0.2006396133617566,0
21,5.28574,-1239.48,-1240.81,-1690.08,0.581758,0.830677,0.503495,28.5914,0.5132385085502215,False,1.8622484442759037,1.468622935164485,2
22,4.6317,-1243.95,-1239.1,-1718.04,0.672928,0.458126,0.713935,50.5405,0.2658713485122952,False,0.25288618087984355,-1.2456293322326821,1
23,4.54911,-1255.74,-1254.75,-1682.54,0.865695,0.407334,0.329718,40.1747,0.330482987338885,False,-1.6622015589889698,-0.18074582125848018,0
